Institution, Institut, Address, PLZ, Ort, Land
Universitaet Bremen, Institut Technik & Bildung, Am Fallturm 1, 28359, Bremen, DE
Ruhr-Universitaet Bochum, Institut fuer Arbeitswissenschaft, Universitaetsstraße 150, 44780, Bochum, DE
Technische Universitaet Dortmund, Lehrstuhl fuer Fabrikorganisation, Leonhard-Euler-Straße 5, 44227, Dortmund, DE
Martin-Luther-Universitaet Halle-Wittenberg, Zentrum fuer Sozialforschung e.V., Großer Berlin 14, 06108, Halle, DE
Helmut-Schmidt-Universitaet, Professur fuer Organisationstheorie, Holstenhofweg 85, 22043, Hamburg, DE
BIBA, Bremer Institut fuer Produktion und Logistik GmbH, Hochschulring 20, 28359, Bremen, DE
Universitaet Hamburg, Fachbereich Psychologie, Von-Melle-Park 11, 20146, Hamburg, DE
IPRI, International Performance Research Institute gGmbH, Koenigstraße 5,70173, Stuttgart, DE
Universitaetsklinikum Muenster (UKM) Klinik für Anaesthesieologie, Operative Intensivmedizin und Schmerztherapie, Albert-Schweitzer-Campus 1, 48149, Muenster, DE
Technische Universitaet Carolo-Wilhelmina zu Braunschweig, Institut fuer Psychologie, Spielmannstraße 19, 38106, Braunschweig, DE
TU Chemnitz, Arbeitswissenschaft und Innovationsmanagement, Straße der Nationen 62, 09111, Chemnitz, DE
Ernst-Moritz-Arndt-Universitaet, Institut fuer Psychologie, Franz-Mehring-Straße 47, 17847, Greifswald, DE
Dr.-Ing. Paul Christiani GmbH Co. KG, Dr.-Ing. Paul Christiani GmbH Co. KG, Hermann-Hesse-Weg 2, 78464, Konstanz, DE
Technische Universitaet Muenchen, Lehrstuhl Produktentwicklung, Boltzmannstraße 15, 85748, Garching, DE
Ruhr-Universitaet Bochum, Institut fuer angewandte Innovationsforschung (IAI) Bochum e.V., Buscheyplatz 13, 44801, Bochum, DE
TOPSTAR GmbH, TOPSTAR GmbH, Augsburger Straße 29, 86863, Langenneufnach, DE
Technische Universitaet Darmstadt, Institut für Produktionsmanagement – Technologie und Werkezugmaschinen, Otto-Berndt-Straße 2, 64287, Darmstadt, DE
Universitaet Kassel, Fachgebiet Wirtschaftsinformatik, Pfannkuchstraße 1, 34121, Kassel, DE
Universitaet-Koblenz-Landau, Institut fuer Management, Universitaetsstraße 1, 56070, Koblenz, DE
Friedrich-Schiller-Universitaet,Institut fuer Soziologie, Carl-Zeiß-Straße 2,07743, Jena, DE
Hochschule Karlsruhe, Technik und Wirtschaft, Moltkestraße 30, 76133, Karlsruhe, DE
Frauenhofer Institut, Institut für Software und Systemtechnik ISST, Emil-Figge-Straße 91, 44227, Dortmund, DE
Universitaet Duisburg-Essen, Rhein-Ruhr-Institut für Sozialforschung und Politikberatung (RISP), Heinrich-Lersch-Straße 15, 45057, Duisburg, DE
Arbeitsgemeinschaft, Arbeitsgemeinschaft Jugendfreizeitstaetten Sachsen e.V. (AGJF), Neefestraße 82, 09119, Chemnitz, DE
Goethe-Universitaet Frankfurt a.M., Institut für Wirtschaft und Arbeit und Kultur (IWAK), Senckenberganlage 31, 60325, Frankfurt, DE
Frauenhofer Institut, Insitut für Arbeitswissenschaft und Organisation IAO, Nobelstraße 12, 70569, Stuttgart, DE
Institut für Sozialwissenschaftliche Forschung e.V.,Institut für Sozialwissenschaftliche Forschung e.V., Jakob-Klar-Straße 9, 80796, München, DE
Technische Universitaet Chemnitz, Professur für Fabrikplanung und Fabrikbetrieb, Erfenschlager Straße 73, 09125, Chemnitz, DE
Friedrich-Alexander-Universitaet (FAU)Erlangen-Nürnberg, Lehrstuhl für Psychologie, Lange Gasse 20, 90403, Nürnberg, DE
Bergische Universitaet Wuppertal,Fachbereich G: Berfus- u. Weiterbildung, Gaußstraße 20, 42119, Wuppertal, DE
Rhein-Ruhr Institut fuer angewandte Systeminnovation e.V. (RIAS), Rhein-Ruhr Institut fuer angewandte Systeminnovation e.V. (RIAS), Buergerstraße 15, 47057, Duisburg, DE
